outlier_no,subset_size,subset,NODE,DATA TYPE,index_first_element,index_last_element
1,5,"[0, 4, 4, 4, 5]",2,CURRENT_icmp_recv,0,4
2,5,"[0, 4, 4, 4, 5]",2,CURRENT_icmp_recv,1,5
3,5,"[0, 3, 3, 3, 4]",2,CURRENT_icmp_recv,20,24
4,5,"[0, 3, 3, 4, 4]",2,CURRENT_icmp_recv,21,25
5,5,"[0, 3, 3, 3, 4]",2,CURRENT_icmp_recv,22,26
6,5,"[0, 3, 3, 4, 4]",2,CURRENT_icmp_recv,23,27
7,5,"[4, 4, 4, 4, 5]",2,CURRENT_icmp_sent,9,13
8,5,"[3, 4, 4, 4, 4]",2,CURRENT_icmp_sent,11,15
9,5,"[3, 4, 4, 5, 9]",3,CURRENT_icmp_recv,3,7
10,5,"[4, 4, 4, 5, 9]",3,CURRENT_icmp_recv,4,8
11,5,"[4, 4, 4, 4, 5]",3,CURRENT_icmp_recv,5,9
12,5,"[4, 4, 4, 4, 5]",3,CURRENT_icmp_recv,7,11
13,5,"[3, 3, 4, 4, 7]",3,CURRENT_icmp_recv,27,31
14,5,"[5, 5, 6, 6, 8]",3,CURRENT_icmp_sent,3,7
15,5,"[5, 5, 6, 6, 8]",3,CURRENT_icmp_sent,4,8
16,5,"[5, 5, 5, 6, 8]",3,CURRENT_icmp_sent,11,15
17,5,"[4, 4, 5, 5, 8]",3,CURRENT_icmp_sent,13,17
18,5,"[5, 5, 6, 6, 8]",3,CURRENT_icmp_sent,18,22
19,5,"[5, 5, 6, 6, 8]",3,CURRENT_icmp_sent,19,23
20,5,"[5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,20,24
21,5,"[5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,21,25
22,5,"[6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,22,26
23,5,"[5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,23,27
24,5,"[5, 6, 6, 6, 6]",3,CURRENT_icmp_sent,24,28
25,5,"[5, 6, 6, 6, 6]",3,CURRENT_icmp_sent,25,29
26,5,"[5, 5, 6, 6, 8]",3,CURRENT_icmp_sent,29,33
27,5,"[3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,7,11
28,5,"[3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,8,12
29,5,"[2, 3, 3, 3, 6]",4,CURRENT_icmp_recv,12,16
30,5,"[2, 3, 3, 3, 6]",4,CURRENT_icmp_recv,13,17
31,5,"[3, 3, 3, 3, 6]",4,CURRENT_icmp_recv,14,18
32,5,"[3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,15,19
33,5,"[3, 3, 3, 3, 4]",4,CURRENT_icmp_recv,16,20
34,5,"[3, 3, 3, 3, 4]",4,CURRENT_icmp_recv,17,21
35,5,"[3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,18,22
36,5,"[3, 3, 4, 4, 6]",4,CURRENT_icmp_recv,19,23
37,5,"[3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,20,24
38,5,"[4, 5, 5, 5, 8]",4,CURRENT_icmp_sent,0,4
39,5,"[4, 4, 5, 5, 8]",4,CURRENT_icmp_sent,1,5
40,5,"[4, 4, 5, 5, 8]",4,CURRENT_icmp_sent,2,6
41,5,"[4, 4, 4, 5, 8]",4,CURRENT_icmp_sent,3,7
42,5,"[4, 4, 5, 5, 8]",4,CURRENT_icmp_sent,4,8
43,5,"[5, 5, 5, 5, 6]",4,CURRENT_icmp_sent,11,15
44,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,12,16
45,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,13,17
46,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,14,18
47,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,26,30
48,5,"[1, 2, 3, 4, 10]",6,CURRENT_icmp_recv,3,7
49,5,"[3, 3, 3, 3, 7]",6,CURRENT_icmp_recv,13,17
50,5,"[3, 3, 4, 4, 7]",6,CURRENT_icmp_recv,16,20
51,5,"[3, 3, 4, 4, 7]",6,CURRENT_icmp_recv,17,21
52,5,"[5, 6, 6, 6, 8]",6,CURRENT_icmp_sent,4,8
53,5,"[5, 6, 6, 6, 8]",6,CURRENT_icmp_sent,5,9
54,5,"[5, 6, 6, 6, 8]",6,CURRENT_icmp_sent,13,17
55,5,"[5, 7, 7, 8, 8]",6,CURRENT_icmp_sent,18,22
56,5,"[5, 7, 7, 7, 8]",6,CURRENT_icmp_sent,19,23
57,5,"[5, 6, 6, 6, 8]",6,CURRENT_icmp_sent,27,31
58,5,"[6, 6, 6, 6, 8]",6,CURRENT_icmp_sent,28,32
59,5,"[6, 6, 6, 6, 9]",6,CURRENT_icmp_sent,29,33
60,5,"[2, 6, 6, 6, 7]",8,CURRENT_icmp_recv,11,15
61,5,"[4, 5, 5, 5, 7]",8,CURRENT_icmp_recv,24,28
62,5,"[3, 4, 4, 4, 4]",8,CURRENT_icmp_sent,14,18
63,5,"[3, 4, 4, 4, 4]",8,CURRENT_icmp_sent,15,19
64,5,"[2, 4, 4, 4, 5]",8,CURRENT_icmp_sent,18,22
65,5,"[2, 4, 4, 4, 5]",8,CURRENT_icmp_sent,19,23
66,5,"[4, 4, 4, 5, 7]",9,CURRENT_icmp_recv,7,11
67,5,"[2, 4, 4, 5, 5]",9,CURRENT_icmp_recv,13,17
68,5,"[3, 6, 6, 6, 7]",9,CURRENT_icmp_recv,18,22
69,5,"[3, 5, 6, 6, 6]",9,CURRENT_icmp_recv,19,23
70,5,"[2, 4, 4, 4, 5]",9,CURRENT_icmp_sent,15,19
71,5,"[2, 4, 4, 4, 5]",9,CURRENT_icmp_sent,16,20
72,5,"[2, 4, 4, 4, 4]",9,CURRENT_icmp_sent,17,21
73,5,"[3, 4, 4, 4, 4]",9,CURRENT_icmp_sent,19,23
74,5,"[3, 4, 4, 4, 4]",9,CURRENT_icmp_sent,20,24
75,5,"[3, 4, 4, 4, 4]",9,CURRENT_icmp_sent,21,25
76,5,"[3, 4, 4, 4, 6]",9,CURRENT_icmp_sent,22,26
77,5,"[2, 3, 3, 3, 6]",9,CURRENT_icmp_sent,26,30
78,5,"[2, 3, 3, 3, 3]",9,CURRENT_icmp_sent,27,31
79,5,"[3, 3, 3, 3, 5]",9,CURRENT_icmp_sent,28,32
80,5,"[2, 3, 3, 3, 5]",9,CURRENT_icmp_sent,29,33
81,5,"[4, 7, 7, 7, 7]",10,CURRENT_icmp_recv,0,4
82,5,"[4, 7, 7, 7, 7]",10,CURRENT_icmp_recv,1,5
83,5,"[4, 4, 4, 5, 8]",10,CURRENT_icmp_recv,8,12
84,5,"[4, 4, 5, 5, 8]",10,CURRENT_icmp_recv,9,13
85,5,"[4, 4, 4, 5, 8]",10,CURRENT_icmp_recv,10,14
86,5,"[5, 6, 6, 6, 8]",10,CURRENT_icmp_sent,10,14
87,5,"[5, 7, 7, 8, 8]",10,CURRENT_icmp_sent,15,19
88,5,"[5, 6, 6, 6, 9]",10,CURRENT_icmp_sent,20,24
89,5,"[2, 3, 3, 3, 3]",11,CURRENT_icmp_recv,22,26
90,5,"[1, 3, 3, 4, 4]",11,CURRENT_icmp_recv,29,33
91,5,"[2, 4, 4, 5, 5]",11,CURRENT_icmp_sent,4,8
92,5,"[2, 4, 4, 4, 5]",11,CURRENT_icmp_sent,5,9
93,5,"[2, 4, 4, 4, 4]",11,CURRENT_icmp_sent,18,22
94,5,"[2, 4, 4, 4, 4]",11,CURRENT_icmp_sent,21,25
95,5,"[2, 4, 4, 4, 4]",11,CURRENT_icmp_sent,22,26
96,5,"[5, 5, 5, 6, 8]",12,CURRENT_icmp_recv,6,10
97,5,"[5, 5, 6, 6, 8]",12,CURRENT_icmp_recv,7,11
98,5,"[5, 5, 6, 6, 8]",12,CURRENT_icmp_recv,8,12
99,5,"[4, 7, 7, 8, 8]",12,CURRENT_icmp_recv,18,22
100,5,"[4, 7, 8, 8, 8]",12,CURRENT_icmp_recv,25,29
101,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,3,7
102,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,15,19
103,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,16,20
104,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,17,21
105,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,26,30
106,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,28,32
107,5,"[3, 4, 5, 5, 9]",13,CURRENT_icmp_recv,20,24
108,5,"[6, 8, 9, 9, 9]",13,CURRENT_icmp_sent,25,29
109,6,"[0, 4, 4, 4, 4, 5]",2,CURRENT_icmp_recv,0,5
110,6,"[0, 3, 4, 4, 4, 5]",2,CURRENT_icmp_recv,1,6
111,6,"[0, 3, 4, 4, 4, 5]",2,CURRENT_icmp_recv,2,7
112,6,"[0, 3, 3, 4, 4, 5]",2,CURRENT_icmp_recv,3,8
113,6,"[0, 3, 3, 3, 4, 4]",2,CURRENT_icmp_recv,20,25
114,6,"[0, 3, 3, 3, 4, 4]",2,CURRENT_icmp_recv,21,26
115,6,"[0, 3, 3, 3, 4, 4]",2,CURRENT_icmp_recv,22,27
116,6,"[0, 3, 3, 3, 4, 4]",2,CURRENT_icmp_recv,23,28
117,6,"[3, 4, 4, 4, 5, 9]",3,CURRENT_icmp_recv,3,8
118,6,"[4, 4, 4, 4, 5, 9]",3,CURRENT_icmp_recv,4,9
119,6,"[5, 5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,3,8
120,6,"[5, 5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,4,9
121,6,"[5, 5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,19,24
122,6,"[5, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,20,25
123,6,"[5, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,21,26
124,6,"[5, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,22,27
125,6,"[5, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,23,28
126,6,"[5, 6, 6, 6, 6, 6]",3,CURRENT_icmp_sent,24,29
127,6,"[5, 5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,28,33
128,6,"[3, 3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,7,12
129,6,"[2, 3, 3, 3, 3, 6]",4,CURRENT_icmp_recv,12,17
130,6,"[2, 3, 3, 3, 3, 6]",4,CURRENT_icmp_recv,13,18
131,6,"[3, 3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,14,19
132,6,"[3, 3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,15,20
133,6,"[3, 3, 3, 3, 3, 4]",4,CURRENT_icmp_recv,16,21
134,6,"[3, 3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,17,22
135,6,"[3, 3, 3, 4, 4, 6]",4,CURRENT_icmp_recv,18,23
136,6,"[3, 3, 3, 4, 4, 6]",4,CURRENT_icmp_recv,19,24
137,6,"[4, 4, 5, 5, 5, 8]",4,CURRENT_icmp_sent,0,5
138,6,"[4, 4, 5, 5, 5, 8]",4,CURRENT_icmp_sent,1,6
139,6,"[4, 4, 4, 5, 5, 8]",4,CURRENT_icmp_sent,2,7
140,6,"[4, 4, 4, 5, 5, 8]",4,CURRENT_icmp_sent,3,8
141,6,"[4, 4, 5, 5, 5, 8]",4,CURRENT_icmp_sent,4,9
142,6,"[4, 5, 5, 5, 5, 5]",4,CURRENT_icmp_sent,12,17
143,6,"[4, 5, 5, 5, 5, 5]",4,CURRENT_icmp_sent,13,18
144,6,"[3, 3, 3, 4, 4, 7]",6,CURRENT_icmp_recv,16,21
145,6,"[5, 7, 7, 7, 8, 8]",6,CURRENT_icmp_sent,18,23
146,6,"[5, 6, 6, 6, 6, 8]",6,CURRENT_icmp_sent,27,32
147,6,"[4, 5, 5, 6, 7, 11]",8,CURRENT_icmp_recv,0,5
148,6,"[3, 4, 4, 4, 4, 4]",8,CURRENT_icmp_sent,14,19
149,6,"[2, 4, 4, 4, 4, 5]",8,CURRENT_icmp_sent,18,23
150,6,"[3, 4, 5, 6, 6, 10]",9,CURRENT_icmp_recv,0,5
151,6,"[4, 4, 4, 5, 5, 7]",9,CURRENT_icmp_recv,7,12
152,6,"[2, 4, 4, 5, 5, 5]",9,CURRENT_icmp_recv,12,17
153,6,"[2, 4, 4, 4, 4, 5]",9,CURRENT_icmp_sent,15,20
154,6,"[2, 4, 4, 4, 4, 5]",9,CURRENT_icmp_sent,16,21
155,6,"[2, 4, 4, 4, 4, 4]",9,CURRENT_icmp_sent,17,22
156,6,"[3, 4, 4, 4, 4, 4]",9,CURRENT_icmp_sent,18,23
157,6,"[3, 4, 4, 4, 4, 4]",9,CURRENT_icmp_sent,19,24
158,6,"[3, 4, 4, 4, 4, 4]",9,CURRENT_icmp_sent,20,25
159,6,"[3, 4, 4, 4, 4, 6]",9,CURRENT_icmp_sent,21,26
160,6,"[2, 3, 3, 3, 3, 6]",9,CURRENT_icmp_sent,26,31
161,6,"[2, 3, 3, 3, 3, 5]",9,CURRENT_icmp_sent,27,32
162,6,"[2, 3, 3, 3, 3, 5]",9,CURRENT_icmp_sent,28,33
163,6,"[4, 7, 7, 7, 7, 7]",10,CURRENT_icmp_recv,0,5
164,6,"[4, 4, 4, 5, 5, 8]",10,CURRENT_icmp_recv,7,12
165,6,"[4, 4, 4, 5, 5, 8]",10,CURRENT_icmp_recv,8,13
166,6,"[4, 4, 4, 5, 5, 8]",10,CURRENT_icmp_recv,9,14
167,6,"[2, 4, 4, 4, 5, 5]",11,CURRENT_icmp_sent,4,9
168,6,"[2, 4, 4, 4, 4, 4]",11,CURRENT_icmp_sent,21,26
169,6,"[5, 5, 5, 6, 6, 8]",12,CURRENT_icmp_recv,6,11
170,6,"[3, 4, 4, 4, 4, 4]",12,CURRENT_icmp_sent,15,20
171,6,"[3, 4, 4, 4, 4, 4]",12,CURRENT_icmp_sent,16,21
172,6,"[4, 4, 5, 5, 6, 9]",13,CURRENT_icmp_recv,17,22
173,6,"[4, 5, 5, 5, 6, 9]",13,CURRENT_icmp_recv,18,23
174,7,"[0, 3, 4, 4, 4, 4, 5]",2,CURRENT_icmp_recv,0,6
175,7,"[0, 3, 4, 4, 4, 4, 5]",2,CURRENT_icmp_recv,1,7
176,7,"[0, 3, 3, 4, 4, 4, 5]",2,CURRENT_icmp_recv,2,8
177,7,"[0, 3, 3, 3, 3, 4, 4]",2,CURRENT_icmp_recv,20,26
178,7,"[0, 3, 3, 3, 4, 4, 4]",2,CURRENT_icmp_recv,21,27
179,7,"[0, 3, 3, 3, 3, 4, 4]",2,CURRENT_icmp_recv,22,28
180,7,"[3, 4, 4, 4, 4, 5, 9]",3,CURRENT_icmp_recv,3,9
181,7,"[4, 4, 4, 4, 5, 5, 9]",3,CURRENT_icmp_recv,4,10
182,7,"[5, 5, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,3,9
183,7,"[5, 5, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,19,25
184,7,"[5, 6, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,20,26
185,7,"[5, 5, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,21,27
186,7,"[5, 6, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,22,28
187,7,"[5, 6, 6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,23,29
188,7,"[5, 5, 5, 6, 6, 6, 8]",3,CURRENT_icmp_sent,27,33
189,7,"[2, 3, 3, 3, 3, 3, 6]",4,CURRENT_icmp_recv,12,18
190,7,"[3, 3, 3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,14,20
191,7,"[3, 3, 3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,15,21
192,7,"[3, 3, 3, 3, 3, 4, 6]",4,CURRENT_icmp_recv,16,22
193,7,"[3, 3, 3, 3, 4, 4, 6]",4,CURRENT_icmp_recv,17,23
194,7,"[3, 3, 3, 3, 4, 4, 6]",4,CURRENT_icmp_recv,18,24
195,7,"[4, 4, 5, 5, 5, 5, 8]",4,CURRENT_icmp_sent,0,6
196,7,"[4, 4, 4, 5, 5, 5, 8]",4,CURRENT_icmp_sent,1,7
197,7,"[4, 4, 4, 5, 5, 5, 8]",4,CURRENT_icmp_sent,2,8
198,7,"[4, 4, 4, 5, 5, 5, 8]",4,CURRENT_icmp_sent,3,9
199,7,"[4, 5, 5, 5, 5, 5, 5]",4,CURRENT_icmp_sent,12,18
200,7,"[4, 4, 5, 5, 6, 7, 11]",8,CURRENT_icmp_recv,0,6
201,7,"[3, 3, 4, 5, 6, 6, 10]",9,CURRENT_icmp_recv,0,6
202,7,"[4, 4, 4, 4, 5, 5, 7]",9,CURRENT_icmp_recv,7,13
203,7,"[2, 4, 4, 4, 5, 5, 5]",9,CURRENT_icmp_recv,11,17
204,7,"[2, 4, 4, 4, 4, 4, 5]",9,CURRENT_icmp_sent,15,21
205,7,"[2, 4, 4, 4, 4, 4, 5]",9,CURRENT_icmp_sent,16,22
206,7,"[3, 4, 4, 4, 4, 4, 4]",9,CURRENT_icmp_sent,18,24
207,7,"[3, 4, 4, 4, 4, 4, 4]",9,CURRENT_icmp_sent,19,25
208,7,"[3, 4, 4, 4, 4, 4, 6]",9,CURRENT_icmp_sent,20,26
209,7,"[2, 2, 3, 3, 3, 3, 5]",9,CURRENT_icmp_sent,27,33
210,7,"[3, 4, 4, 4, 5, 5, 8]",10,CURRENT_icmp_recv,6,12
211,7,"[4, 4, 4, 5, 5, 5, 8]",10,CURRENT_icmp_recv,7,13
212,7,"[4, 4, 4, 4, 5, 5, 8]",10,CURRENT_icmp_recv,8,14
213,7,"[3, 4, 4, 4, 4, 4, 4]",12,CURRENT_icmp_sent,15,21
214,7,"[4, 4, 5, 5, 6, 6, 9]",13,CURRENT_icmp_recv,16,22
215,7,"[4, 4, 5, 5, 5, 6, 9]",13,CURRENT_icmp_recv,17,23
